word,polarity,frequency
oil,neutral,145
rarely,neutral,145
volume,neutral,145
forced,neutral,145
renovation,neutral,144
lacks,negative,144
treats,neutral,144
notch,neutral,144
adults,neutral,144
opposite,neutral,144
heard,neutral,144
spaces,neutral,144
fanta,neutral,144
overcrowded,neutral,144
tea,neutral,144
blame,negative,143
macs,neutral,143
efficiency,neutral,143
wear,neutral,142
estela,neutral,142
lisbon,neutral,142
knew,neutral,142
regards,neutral,142
traditional,neutral,142
walked,neutral,142
weeks,neutral,141
calm,positive,141
deplorable,negative,141
cake,neutral,141
issues,negative,141
question,neutral,141
expectations,neutral,141
dirt,negative,140
picking,neutral,140
claim,neutral,140
story,neutral,140
competent,neutral,140
apparently,neutral,140
strong,positive,140
foot,neutral,140
haha,neutral,140
past,neutral,140
sense,neutral,139
request,neutral,139
lie,negative,139
country,neutral,139
potato,neutral,138
airport,neutral,138
monday,neutral,138
temperature,neutral,138
upon,neutral,138
resolve,neutral,138
entering,neutral,137
exchange,neutral,137
throughout,neutral,137
heart,neutral,137
relatively,neutral,137
messy,negative,137
vegan,neutral,136
sticky,negative,136
peace,positive,136
cockroaches,neutral,136
learn,neutral,135
bigger,neutral,135
rare,neutral,135
confusing,negative,135
drawback,negative,135
approached,neutral,135
experienced,neutral,134
selection,neutral,134
effort,neutral,134
freezing,negative,134
excessive,negative,134
follow,neutral,134
iced,neutral,133
fat,negative,133
sants,neutral,133
parties,neutral,133
priced,neutral,132
tourist,neutral,132
chance,neutral,132
confused,negative,132
seat,neutral,132
shows,neutral,132
deserves,neutral,132
traveling,neutral,132
wide,neutral,131
throwing,neutral,131
kinds,neutral,131
mcextreme,neutral,131
balls,neutral,131
husband,neutral,131
appreciate,positive,131
buns,neutral,130
refill,neutral,130
spending,neutral,130
owner,neutral,130
complicated,negative,130
patience,positive,130
policy,neutral,130
joint,neutral,129
stupid,negative,129
handling,neutral,129
surprises,neutral,129
match,neutral,129
apologize,neutral,129
exceptional,positive,129
exit,neutral,128
maintain,neutral,128
fixed,neutral,128
visiting,neutral,127
playing,neutral,127
regrettable,negative,127
welcome,positive,127
word,neutral,126
cappuccino,neutral,126
depends,neutral,126
details,neutral,126
napkin,neutral,126
members,neutral,125
writing,neutral,125
apology,neutral,125
pickle,neutral,125
dropped,neutral,125
older,neutral,125
share,neutral,125
thin,neutral,125
finding,neutral,125
particularly,neutral,125
crowd,neutral,124
halfway,neutral,124
consider,neutral,124
canceled,neutral,124
beyond,neutral,124
based,neutral,124
hear,neutral,124
adequate,positive,124
wet,neutral,124
watered,neutral,124
demand,neutral,124
chains,neutral,124
plaza,neutral,124
act,neutral,123
ripped,negative,123
mall,neutral,123
yelling,neutral,123
traffic,neutral,123
bbq,neutral,122
masks,neutral,122
prompt,positive,122
feels,neutral,122
distance,neutral,122
celebrate,positive,122
normally,neutral,122
maria,neutral,121
regulations,neutral,121
bringing,neutral,121
kid,neutral,121
mcchicken,neutral,121
thinking,neutral,121
god,neutral,121
spicy,neutral,120
branch,neutral,120
hahaha,neutral,120
incorrect,negative,120
unless,neutral,120
del,neutral,119
exquisite,positive,119
sugar,neutral,119
familiar,neutral,119
cook,neutral,119
purchase,neutral,119
watch,neutral,119
minimum,neutral,119
suitable,positive,119
ample,positive,119
row,neutral,119
interesting,positive,119
pie,neutral,118
towards,neutral,118
happening,neutral,118
mobile,neutral,118
signature,neutral,118
starting,neutral,118
nonexistent,negative,118
undercooked,neutral,118
basically,neutral,118
changing,neutral,117
patient,positive,117
ignore,negative,117
buying,neutral,117
dishes,neutral,117
reduced,neutral,117
force,neutral,117
missed,negative,117
cafeteria,neutral,117
confusion,negative,117
neighborhood,neutral,117
manage,neutral,116
gracia,neutral,116
salty,neutral,116
passed,neutral,116
proper,positive,116
nowhere,neutral,116
plan,neutral,116
bottom,neutral,115
boxes,neutral,115
advertise,neutral,115
indoor,neutral,115
cone,neutral,115
sour,negative,115
shameless,negative,115
waits,neutral,115
helping,positive,115
loves,positive,115
kicked,neutral,114
unbearable,negative,114
tight,neutral,114
games,neutral,114
enjoying,positive,113
therefore,neutral,113
reality,neutral,113
plain,neutral,113
discounts,neutral,113
overwhelming,negative,113
sold,neutral,113
eye,neutral,113
result,neutral,112
current,neutral,112
arriving,neutral,112
impression,neutral,112
walking,neutral,112
cleared,positive,111
fail,negative,111
rubbish,negative,111
flurry,neutral,111
